TAGS,PATTERNS,RESPONSES
GREETINGS,"Hi Hello, How are you, Is there anyone, Good Morning, I need some help, Howdy !! ,Hey, I have a question regarding investments, hi, Good Afternoon ! How is your day going?, Hello, Good Day ! How are you ?","Hey there, friend! I'm InvestoBot, the chatbot for helping you make better investments. Before we proceed ahead, may I know your name?"
NAME,"I am <name>, my name is <name> , its <name>, Its <name> this is side , Hey Investo its <name>, <name> , Nice to meet you Investobot , its <name> , This is <name>",Thank you <name>! Do you have an account with us?
ACCOUNT_NUMBER,"Do I need to have an account ? , I have an account should I share the info? , where to find my account number , Give me a moment let me share my account number if you want, I have an account already.",Kindly enter your 9 digit account number to assist you further.
ACCOUNT_DETAILS_VALIDITY,"How does my portfolio look ?, Can you help me look inot my portfolio ? ,What improvements do you suggest for my existing portfolio ? , I can't seem to ee my portfolio can you please help me out ?, I have few questions regarding my portfolio, can you please help ?",Please wait until I get your details. This is how your portfolio looks currently. (display detials)
ACCOUNT_DETAILS_INVALIDITY,"Sorry, I am unable to find my account number , I seem to have misplaced my account information, can you please help me out ? , I am having trouble with my account number can we try this <no.> out ? , I wanted to veryify if the account number with me and on file is correct ?","Don't worry, I am here to help! I can help you with better investment options and create a portfolio."
ACCOUNT_DOES_NOT_EXIST,"I don't have my account yet, I need some help, I think I have lost my account information , I think I am temporarily looked out of my account information can you help me with a new account ? , I need your help with a new account, How can I create a new portfolio? , I have very little information regarding a portfolio, how can you help ?",Please answer the 12 Qs in the form and my advisor can guide you with the risk you should take for your investments.
INVEST,"I need your help with investments , How can you simplify my investment ?, I have'nt done this before, but how can you help me with investments? , I am planning to attend school again, I need some investment help, I am planning to buy a new car, how can you help ? , I am really poor at my savings, I need a better option now. How can investing help me ? ,","Would you like to optimize your investments?, Awesome! Here are some alternate ways you could invest to increase your earnings. (display results), Do you want me to suggest some options for investments?, I can help you make investments in 4 categories -
1. Personal 2. Education 3. Retirement 4. Charity
Please enter 1,2,3 or 4 to get more information about each of these., Here is the list of currect stock prices for the stocks you requested. (display results)"
PERSONAL_INVESTMENTS,,"For Personal Investments, I can help you with the following -
1. Stock Trading 2. Mutual Funds 3. Bonds 4. Foreign Exchange"
INVESTMENT_AMOUNT,,How much do you want to invest?
INVESTMENT_PREFERENCES,,Do you know who are you investing with? Any preferences?
STOCK_PRICES_REQUESTED,,Here is the list of currect stock prices for the stocks you requested. (display results)
STOCK_SUGGESTIONS,"I am looking for some options on Stock Trading, Do you guide with stock trading ?, How is the <stockname> ? is it the right time to buy , Can you suggest some good stocks to buy in ?","For Stocks, I can make suggestions depending on the nature of your risk tolerance. Your risk tolerance can be High, Medium or Low., Do you know what will be your risk tolerance?"
STOCK_SUGGESTIONS_WITHOUT_RISK,,"Don't worry, it's alright if you do not know how much risk you are willing to take for your investments."
HELP,,"How can I help you?, Is there anything else I can help you with?"
MORE_HELP,"I need some more resolution on the trading, I want to buy 4 stocks for <stockname> , I would like to buy any 5 stocks for 100$ , Help me with an associate ?","My advisor will reach out to you shortly., Ok perfect! I will pass on your details to one of my advisors and he will reach out to you shortly."
THANKS,"Have a great day, it was great to chat, Thanks investo for the insights, Investo, you are amazing !! Bye , See you",Thank you for chatting with me.
EXIT,"Bye, then, Goodbye!",Please type 'bye' to close this chat
